Date,Technology,Search_Interest,Job_Postings,GitHub_Repos,Research_Papers,Funding_Received
2022-01-01,AI & Machine Learning,85,2256,1195,102,69000000
2022-01-01,Quantum Computing,44,1735,447,268,108000000
2022-01-01,Blockchain,33,1773,642,496,172000000
2022-01-01,5G Networks,72,740,1899,201,186000000
2022-01-01,Edge Computing,72,2896,1070,19,326000000
2022-01-01,Cybersecurity,73,4086,1965,179,217000000
2022-01-01,AR/VR,44,3011,993,108,184000000
2022-01-01,IoT,59,516,476,94,46000000
2022-01-01,Biotech,20,3213,357,160,189000000
2022-01-01,Renewable Energy,24,4411,540,320,454000000
2022-01-08,AI & Machine Learning,29,1836,531,174,477000000
2022-01-08,Quantum Computing,56,2186,318,291,417000000
2022-01-08,Blockchain,48,4968,1836,113,247000000
2022-01-08,5G Networks,34,2499,442,55,62000000
2022-01-08,Edge Computing,90,4646,1244,274,163000000
2022-01-08,Cybersecurity,86,3109,535,374,449000000
2022-01-08,AR/VR,47,3819,110,414,311000000
2022-01-08,IoT,44,1189,948,202,249000000
2022-01-08,Biotech,25,4613,169,372,334000000
2022-01-08,Renewable Energy,83,352,457,195,280000000
2022-01-15,AI & Machine Learning,94,625,208,388,55000000
2022-01-15,Quantum Computing,76,3141,125,354,368000000
2022-01-15,Blockchain,92,365,1785,207,68000000
2022-01-15,5G Networks,91,635,693,198,391000000
2022-01-15,Edge Computing,43,862,120,94,323000000
2022-01-15,Cybersecurity,93,1805,556,210,70000000
2022-01-15,AR/VR,33,3208,1548,296,442000000
2022-01-15,IoT,52,1031,1396,43,214000000
2022-01-15,Biotech,61,3881,894,429,454000000
2022-01-15,Renewable Energy,78,536,970,95,76000000
2022-01-22,AI & Machine Learning,26,2123,896,422,444000000
2022-01-22,Quantum Computing,95,1998,1589,291,229000000
2022-01-22,Blockchain,82,1396,907,102,98000000
2022-01-22,5G Networks,46,1402,1107,365,363000000
2022-01-22,Edge Computing,29,4975,625,432,426000000
2022-01-22,Cybersecurity,94,1523,457,253,358000000
2022-01-22,AR/VR,85,3545,1442,284,383000000
2022-01-22,IoT,38,1474,195,325,215000000
2022-01-22,Biotech,78,4673,909,427,245000000
2022-01-22,Renewable Energy,33,2965,1929,227,216000000
2022-01-29,AI & Machine Learning,34,4965,1530,285,103000000
2022-01-29,Quantum Computing,38,2205,720,252,270000000
2022-01-29,Blockchain,50,1105,1640,82,122000000
2022-01-29,5G Networks,45,102,1420,60,460000000
2022-01-29,Edge Computing,43,4459,85,289,373000000
2022-01-29,Cybersecurity,45,3581,1703,295,349000000
2022-01-29,AR/VR,96,2155,1921,310,446000000
2022-01-29,IoT,62,4497,484,210,183000000
2022-01-29,Biotech,31,4787,1734,96,146000000
2022-01-29,Renewable Energy,66,3483,1263,103,416000000
2022-02-05,AI & Machine Learning,65,341,639,489,486000000
2022-02-05,Quantum Computing,98,1945,1759,309,126000000
2022-02-05,Blockchain,53,1741,483,181,255000000
2022-02-05,5G Networks,91,142,888,328,410000000
2022-02-05,Edge Computing,74,277,147,70,258000000
2022-02-05,Cybersecurity,66,841,864,471,47000000
2022-02-05,AR/VR,87,3331,1231,334,479000000
2022-02-05,IoT,62,1123,877,138,447000000
2022-02-05,Biotech,74,3287,1483,163,298000000
2022-02-05,Renewable Energy,23,510,1879,15,28000000
2022-02-12,AI & Machine Learning,83,1992,1786,464,62000000
2022-02-12,Quantum Computing,74,3295,218,203,177000000
2022-02-12,Blockchain,27,143,584,455,351000000
2022-02-12,5G Networks,40,2233,781,297,411000000
2022-02-12,Edge Computing,36,1359,402,318,68000000
2022-02-12,Cybersecurity,63,4329,421,117,114000000
2022-02-12,AR/VR,55,2985,1253,131,82000000
2022-02-12,IoT,22,3774,1497,74,17000000
2022-02-12,Biotech,37,4845,1059,62,245000000
2022-02-12,Renewable Energy,69,1036,1162,428,91000000
2022-02-19,AI & Machine Learning,34,4197,1333,230,496000000
2022-02-19,Quantum Computing,23,1584,826,74,299000000
2022-02-19,Blockchain,63,4433,1205,162,365000000
2022-02-19,5G Networks,86,2949,1597,247,232000000
2022-02-19,Edge Computing,68,3097,377,320,457000000
2022-02-19,Cybersecurity,61,3020,1405,304,360000000
2022-02-19,AR/VR,43,2167,52,297,474000000
2022-02-19,IoT,24,4806,1524,127,263000000
2022-02-19,Biotech,43,4655,1046,398,333000000
2022-02-19,Renewable Energy,26,2344,599,288,119000000
2022-02-26,AI & Machine Learning,42,3871,709,383,119000000
2022-02-26,Quantum Computing,37,2129,661,216,175000000
2022-02-26,Blockchain,52,246,1213,112,232000000
2022-02-26,5G Networks,72,1215,1168,490,107000000
2022-02-26,Edge Computing,24,4357,1789,63,130000000
2022-02-26,Cybersecurity,90,3491,1474,481,330000000
2022-02-26,AR/VR,98,3776,1421,292,181000000
2022-02-26,IoT,82,2836,1964,418,18000000
2022-02-26,Biotech,42,4745,418,154,442000000
2022-02-26,Renewable Energy,37,218,1310,301,348000000
2022-03-05,AI & Machine Learning,27,2542,1112,378,108000000
2022-03-05,Quantum Computing,20,2179,486,136,66000000
2022-03-05,Blockchain,64,1334,1281,449,467000000
2022-03-05,5G Networks,43,3441,1235,288,162000000
2022-03-05,Edge Computing,23,3368,190,477,115000000
2022-03-05,Cybersecurity,91,2601,1590,332,240000000
2022-03-05,AR/VR,71,4713,1399,74,158000000
2022-03-05,IoT,77,2483,1339,137,236000000
2022-03-05,Biotech,89,2429,1219,139,360000000
2022-03-05,Renewable Energy,24,367,1723,494,216000000
2022-03-12,AI & Machine Learning,37,1216,461,483,173000000
